id,title,content,date,created_at,updated_at,link,organizer,typesite,typeid
500,"Durham Discussion of ""Microinteractions""","<p>Sometime in lateish September, we'll be meeting to discuss Microinteractions by Dan Saffer. I will update this description once a date and location is confirmed.</p>
<p>You can buy the book directly from the publisher: <a href=""http://shop.oreilly.com/product/0636920027676.do"" target=""_blank"" class=""linkified"">http://shop.oreilly.com/product/0636920027676.do</a></p>
<p>From O'Reilly:</p>
<p>It’s the little things that turn a good digital product into a great one. With this practical book, you’ll learn how to design effective microinteractions: the small details that exist inside and around features. How can users change a setting? How do they turn on mute, or know they have a new email message?</p>
<p>Through vivid, real-world examples from today’s devices and applications, author Dan Saffer walks you through a microinteraction’s essential parts, then shows you how to use them in a mobile app, a web widget, and an appliance. You’ll quickly discover how microinteractions can change a product from one that’s tolerated into one that’s treasured.</p>
<p>• Explore a microinteraction’s structure: triggers, rules, feedback, modes, and loops</p>
<p>• Learn the types of triggers that initiate a microinteraction</p>
<p>• Create simple rules that define how your microinteraction can be used <br />

</p>
<p>• Help users understand the rules with feedback, using graphics, sounds, and vibrations <br />

</p>
<p>• Use modes to let users set preferences or modify a microinteraction <br />

</p>
<p>• Extend a microinteraction’s life with loops, such as “Get data every 30 seconds”</p>",2013-10-17,2013-09-27 09:00:22.168898,2013-09-27 09:00:22.168898,http://www.meetup.com/triupa-book-club/events/133787702/,Triangle UXPA Book Club,,
882,Splat Space Open Meeting,"<p>Open Meetings on Tuesdays include member show &amp; tell, project updates, and calls for collaborative hacking from 7pm-8pm. By 8:00pm, the meeting will break and everyone is free to mingle, work on projects, and get to know fellow hackers.</p> <p>How to get here: <a href=""http://splatspace.org/location/""><a href=""http://splatspace.org/location/"" class=""linkified"">http://splatspace.org/location/</a></a></p> <p>We're in the basement below Beyu Caffe @ 331 W. Main St. Parking behind the building on Ramseur St -- there is plenty of parking and it's free on weekends and/or as long as you exit the lot after 7pm.</p>",2014-01-15,2014-01-10 09:02:27.286155,2014-01-10 09:02:27.286155,http://www.meetup.com/splatspace/events/159511202/,Splat Space - Durham's Hackerspace,,
502,Networking Meet and Greet,"<p>The October meeting will be an opportunity for you to meet and talk to other TISQA members and re-connect with speakers from prior meetings. This is your opportunity to talk with other people using the same tools (cucumber, selenium, etc) and swap ideas. Or did you have that one burning question from the speaker a few months back that you didn't get to ask, well now you can. <br />

 Light refreshments will be served.</p>",2013-10-24,2013-09-28 09:00:53.339172,2013-09-28 09:00:53.339172,http://www.meetup.com/softwaredev-117/events/142510312/,TISQA,,
503,"LADIES OF ELEGANCE 7TH ANNIVERSARY ""The Crossover Continues"" Early Bird  Passes","<DIV ID=""id_5170316edad623e74433768""><SPAN STYLE=""color: #ff0000; font-size: medium;""><EM><STRONG>     Ladies of Elegance SC-Inc 7th Anniversary Oct 18-20</STRONG></EM></SPAN></DIV>
<DIV> </DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Oh snap, what's that I hear... the academy is out so the party will be hosted by none other than </SPAN><SPAN STYLE=""font-size: small;""><SPAN STYLE=""font-size: medium;""><STRONG>HIT SQUAD MC</STRONG></SPAN>....... </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Friday: Oct 18th ... </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Meet and Greet </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">9pm-12am </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Location: Host Hotel</SPAN></DIV>
<DIV>
<DIV><SPAN STYLE=""font-size: small;"">Holiday Inn Raliegh-Durham Airport </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">930 Airport Blvd Morrisville NC 27560 </SPAN></DIV>
</DIV>
<DIV><SPAN STYLE=""font-size: small;"">Pajama Jammie Jam Emceed by ""<STRONG>MR LEAVE NO EVIDENCE</STRONG>"" himself! This is a grown and sexy event. We wanna know who has the sexiest bedroom wear... Prizes will be awarded to the best dressed male and female....</SPAN></DIV>
<DIV> </DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: medium;""><STRONG>(ALL DAY EVENTS WILL BE HELD AT HOST HOTEL)</STRONG></SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Sat: Oct 19th </SPAN></DIV>
<DIV> </DIV>
<DIV>
<DIV><SPAN STYLE=""font-size: small;"">Charity Ride hosted by <STRONG>Hit Squad MC</STRONG> </SPAN></DIV>
</DIV>
<DIV><SPAN STYLE=""font-size: small;"">$10 donation </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Registration starts at 11am </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Kickstands up at 12pm sharp. </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">(All proceeds will be donated to the Warren Vance Community Health Center for HIV Awareness and Testing.) </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Cookout and Bike/Car Show </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">1pm-4pm</SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Registration starts at 1pm </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Show will be from 2pm-4pm </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">$10 fee per bike and car that is entered</SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Trophies will be awarded </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Free Bike Safety Information provided by <STRONG>Dat Foxy Chick</STRONG> of Hot Commodities MC </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Oh and you thought we were done, we just getting started..</SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;""><STRONG>LOE MC</STRONG> ""The Crossover Continues""............. EPIC </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Oct: 19th Main Event: </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">10pm-2am </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Marriott @ Research Triangle Park </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">4700 Guardian Drive, Durham NC 27703 </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">""<STRONG>DJ SKEET THEORY</STRONG>"" of Runnin Hott MC will be on the 1s and 2s while none other than the party starter ""<STRONG>BIG MOOKIE</STRONG>"" of Runnin Hott MC and our brother ""<STRONG>ROCKSTAR</STRONG>"" on da mic as EMCEES.. </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;""><STRONG>IRide Magazine</STRONG> will be on site so you know you need to come photo ready... SMILE...</SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Limited Advance Weekend passes $10/$15 at the door. No tixs will be sold day of. </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">(Presidents free wit 3 or more members) </SPAN></DIV>
<DIV> </DIV>
<DIV><SPAN STYLE=""font-size: small;"">Cash Bar and much much more........ </SPAN></DIV>
<DIV> </DIV>
<DIV><STRONG><SPAN STYLE=""font-size: small;"">Host Hotel: </SPAN></STRONG></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Holiday Inn Raliegh-Durham Airport </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">930 Airport Blvd Morrisville NC 27560 </SPAN></DIV>
<DIV>
<DIV><SPAN STYLE=""font-size: small;"">9194651910 </SPAN></DIV>
</DIV>
<DIV><SPAN STYLE=""font-size: small;"">King/Queens Double Rooms </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">$90 plus tax a night (breakfast included) </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;""><SPAN STYLE=""font-size: small;"">**Ask for Ladies of Elegance rate**</SPAN></SPAN></DIV>
<DIV> </DIV>
<DIV><STRONG><SPAN STYLE=""font-size: small;"">Overflow:</SPAN></STRONG></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Marriott Hotels & Rsorts</SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Research Triangle Park</SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">4700 Guardian Drive </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">Durham NC 27703</SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">919-941-6200</SPAN></DIV>
<DIV>
<DIV><SPAN STYLE=""font-size: small;"">King/Queens Double Rooms </SPAN></DIV>
<DIV><SPAN STYLE=""font-size: small;"">$99 plus tax a night (breakfast included) </SPAN></DIV>
</DIV>
<DIV><SPAN STYLE=""font-size: small;"">**Ask for Ladies of Elegance rate** </SPAN></DIV>
<DIV> </DIV>
<DIV> </DIV>
<DIV><STRONG><SPAN STYLE=""font-size: small;"">POC: </SPAN></STRONG></DIV>
<DIV><STRONG><SPAN STYLE=""font-size: small;"">Luv-a-Lot/PRO- 2522652471</SPAN></STRONG></DIV>
<DIV><STRONG><SPAN STYLE=""font-size: small;"">Jus2Juicy/Prez LOE MC- 9194824376 </SPAN></STRONG></DIV>
<DIV><STRONG><SPAN STYLE=""font-size: small;"">Tasty/Prez LOE SC- 9199393572</SPAN></STRONG></DIV>",2013-10-06,2013-09-28 09:00:56.458837,2013-09-28 09:00:56.458837,http://loe7thannvadvtixsnow-SRCH.eventbrite.com,LADIES OF ELEGANCE SOCIAL CLUB-INC,,
504,NSCoder Night - Raleigh - Weekly Hack Night,"<p><span>Per the comments below: Cafe Carolina is in the Arboretum Shopping Center at Harrison and Weston Parkway (take exit 287 off I-40)</span></p>
<p>(Thanks Keefe!)</p>
<p><span> <br />

</span></p>
<p><strong><span><span style=""font-size : small"">This is a completely open, free-form, ""just show up with a laptop (or a friend with a laptop) and hack on some Cocoa"" meeting. There's no agenda, and there's sure to be a great mix of coding and shooting the breeze about all things geeky. <em>(Hack night description blatantly stolen from Raleigh.rb's Ruby Hack Night)</em></span></span></strong></p>
<p><span><span style=""font-size : small"">See you there!</span></span></p>
<p><span><span style=""font-size : small"">NSCoder Night is a weekly event where Cocoa developers come together for some coding and camaraderie in the relaxed atmosphere of a coffee shop or pub with a wireless network. Rumor has it that in the before-time, in the long-long-ago, it was once referred to as Tuesday night.</span></span></p>
<p> </p>
<p> </p>",2013-10-01,2013-09-29 09:01:22.145611,2013-09-29 09:01:22.145611,http://www.meetup.com/nscoderrtp/events/142178292/,Triangle Cocoa - Mac and iOS Development Meetups,,
505,Carrboro Project Night,"<p>To get full and timely notifications of all TriPython events and discussions, subscribe to the TriPython email list at <a href=""http://mail.python.org/mailman/listinfo/trizpug/"">http://mail.python.org/mailman/listinfo/trizpug/</a>. Full information about TriPython is available on the website at <a href=""http://tripython.org"">http://tripython.org</a>.</p>
<p>Have a project you want to show off, share, seek help with, or just get some work done surrounded my like minded python lovers? Join us for our monthly second Wednesday Carrboro Project Night and do just that! Don't have something to work on? Show up and enjoy the energy, sprint on an open source project, find something interesting to contribute to or be inspired by!</p>
<p>The setting is informal and there is no schedule, so don't worry if you show up past the start time.</p>",2013-10-09,2013-09-30 09:00:30.656917,2013-09-30 09:00:30.656917,http://www.meetup.com/tripython/events/140479312/,Triangle Python Users Group (formerly TriZPUG),,
827,Durham Lunch,<p>Please invite people you know or work with that you think would be interested in talking about agile software dev!</p>,2014-01-09,2013-12-30 09:05:01.901671,2013-12-30 09:05:01.901671,http://www.meetup.com/Agile-Lunches/events/155070062/,Agile Lunches,,
883,"TriDUG Raleigh Wednesday evening, Jan 15th 6pm!","<p>Please <b>RSVP</b> so we can appropriately prepare.</p> <p>(please update your meetup.com profile to use both first and last name. We need this to register with the front desk at Red Hat. Thanks!)</p> <p> </p> <p><b>Schedule</b>:</p> <p><b>We will have Pizza!</b></p> <p>6:00-6:15 Downstairs lobby sign-in (get your visitor's badge)</p> <p>6:15-6:30 Food, announcements, jobs offered/needed.</p> <p>6:30 - 7:00 <b>Lightning Talks</b> </p> <p>7:00 - 8:30 Topic TBA</p> <p>8:30 - 9:00 - Q&amp;A</p> <p>9:00 + Optional hangout at Tir Na Nog (walking distance from Red Hat)</p> <p>Parking on the street is free after 5pm.</p> <p> </p> <p><b>*Red Hat Location notes*</b></p> <p><b>Parking</b>:</p> <p>Parking is also free after 6:50pm in the deck attached to Red Hat Tower. There are multiple entrances, main ones are on Wilmington and Blount.</p> <p>If you arrive between 6:50 and 7pm, you will have to take a ticket, but you will *<b>not</b>* need to pay when leaving.</p> <p> </p> <p><b>Check-in:</b></p> <p>Once parked, follow signs to Red Hat Elevators. Head to the ground level. Sign in at the front desk to receive your badge.</p> <p>If you arrive late, or your RSVP status changes last minute, no problem! Just make sure you let the front desk know you are here for TriDUG.</p>",2014-01-15,2014-01-10 09:02:27.333299,2014-01-10 09:02:27.333299,http://www.meetup.com/triDUG/events/159721002/,Triangle Drupal Users' Group,,
884,CocoaHeads January,"<p><b>As usual, we will have Pizza and drinks available.</b></p> <p><b>---</b></p> <p><b>Meeting Agenda</b></p> <p>• Pizza, Introductions, and Sponsors</p> <p>• Session 1: <b>TBA</b> </p> <p>• Session 2: <b>TBA</b> </p> <p>• Show and Tell: Would you like to demo?</p> <p>• NSDrinking</p> <p>Would you like to demo your app? or even something cool you've been hacking on? Let me know in the comments below and I'll call you up during the Show and Tell section.</p>",2014-01-24,2014-01-10 09:02:27.380255,2014-01-10 09:02:27.380255,http://www.meetup.com/nscoderrtp/events/159599042/,Triangle Cocoa - Mac and iOS Development Meetups,,
885,Personal Digital Fabrication Saturday,</p>,2014-01-25,2014-01-10 09:02:27.389946,2014-01-10 09:02:27.389946,http://www.meetup.com/splatspace/events/159309822/,Splat Space - Durham's Hackerspace,,
886,Downtown Raleigh Meetup,<p>Are you a designer or developer? Come hang out with the crew at UserVoice for the day at our offices in downtown Raleigh (right above the Raleigh Times). It's a really cool space! Free beer and coffee will be provided. Lunch will be at one of the nearby restaurants.</p> <p>So come! Bring your laptop! Hang out with cool people. Talk about what you are building. And get some work done.</p>,2014-02-12,2014-01-10 09:02:27.431392,2014-01-10 09:02:27.431392,http://www.meetup.com/Happy-Nomadders/events/159019902/,Designer/Dev Nomadders,,
868,TMUG monthly meeting,</p>,2014-01-13,2014-01-08 09:01:43.112512,2014-01-08 09:01:43.112512,http://www.meetup.com/TMUGNC/events/156952832/,Triangle Macintosh Meetup,,
869,Bowling,</p>,2014-01-18,2014-01-08 09:01:43.333644,2014-01-08 09:01:43.333644,http://www.meetup.com/Raleigh-Nerd-Herd/events/158805912/,Raleigh Nerd Herd,,
870,Habitat for Humanity: Construction,"<p>We will meet for breakfast and then head over to Coventry Crossing to build a home. We need to get to habitat between 8 and 8:30 to check-in. You can register with Habitat here:</p> <p><a href=""http://habitatwake.volunteerhub.com/Events/Event/Summary.aspx?EventID=1494588""><a href=""http://habitatwake.volunteerhub.com/Events/Event/Summary.aspx?EventID=1494588"" class=""linkified"">http://habitatwake.volunteerhub.com/Events/Event/Summary.aspx?EventID=1494588</a></a></p> <p><b>You must register with Habitat in addition to RSVPing to this event.</b> This is an individual signup, not as a group.</p>",2014-01-18,2014-01-08 09:01:43.34937,2014-01-08 09:01:43.34937,http://www.meetup.com/Raleigh-Nerd-Herd/events/158688862/,Raleigh Nerd Herd,,
528,Downtown Raleigh Meetup,"<p>Are you a designer or developer? Come hang out with the crew at UserVoice for the day at our offices in downtown Raleigh (right above the Raleigh Times). It's a really cool space! Free beer and coffee will be provided. Lunch will be at one of the nearby restaurants.</p>
<p>So come! Bring your laptop! Hang out with cool people. Talk about what you are building. And get some work done.</p>",2013-10-09,2013-10-04 09:00:24.020316,2013-10-04 09:00:24.020316,http://www.meetup.com/Happy-Nomadders/events/143621672/,Designer/Dev Nomadders,,
529,Code / Motivate / Pitch / Discuss,"<p>This meetup is for anyone in the pre start up phase. Developers, product people, business folks and any one else are welcome to attend.</p>",2013-10-16,2013-10-04 09:00:24.722528,2013-10-04 09:00:24.722528,http://www.meetup.com/North-Raleigh-Pre-Startup/events/138514942/,North Raleigh Pre Startup,,
530,Hang out and talk Home Automation,"<p>It's our first meeting, so why don't we just get together for a beer (optional) and talk about what we would like to see at future meet ups?</p>
<p>Other suggestions welcome.</p>",2013-11-06,2013-10-04 09:00:24.823504,2013-10-04 09:00:24.823504,http://www.meetup.com/RTP-Home-Automation-Enthusiasts/events/143446922/,RTP Home Automation Enthusiasts,,
873,"Grunt, Yeoman and Bower","<p>Grunt, Yeoman and Bower. Sounds like a law firm right? These front end development tools burst onto the scene in 2013 and have become an integral, and invaluable part of the front end developer's workflow.</p> <p>Yeoman is a scaffolding tool to help your init your project with all the boilerplate code and files you need to get started. Bower is a dependency manager, and since modularity is the hotness right now it's the perfect tool to help you manage your site's components. Finally there's Grunt, the task runner that faithfully executes just about anything you tell it to do.</p> <p>It's a powerhouse trio and if you aren't using these tools now's your chance to learn about them. Let's meet up Thursday, January 30th and see if the law firm of Grunt, Yeoman and Bower is right for you. See you there!</p>",2014-01-31,2014-01-08 09:01:43.482638,2014-01-08 09:01:43.482638,http://www.meetup.com/functionpink/events/159223142/,Function Pink,,
874,Let's Continue Working on Our WordPress Website,"<p>If you want to learn more about WordPress or already love using it, then you've come to the right place.</p> <p>Come out and participate/watch/learn as we start a website from nothing and take it to a membership site with an ecommerce component.</p> <p>We'll test different strategies, plugins, and so forth as we go so everyone is welcome to participate (show us the tools and tricks of the trade you use).</p> <p>The goal is to give everyone different ways to accomplish the same thing so they can pick and choose what works best for them.</p> <p>Go to: <a href=""http://amyswebsitesolutions.com/""><a href=""http://amyswebsitesolutions.com/"" class=""linkified"">http://amyswebsitesolutions.com/</a></a> to see some of the tutorials available.</p> <p>Go to: <a href=""http://amyswebsitesolutions.com/carywp/""><a href=""http://amyswebsitesolutions.com/carywp/"" class=""linkified"">http://amyswebsitesolutions.com/carywp/</a></a> to see what we will be doing at our next meeting.</p>",2014-02-03,2014-01-08 09:01:43.495464,2014-01-08 09:01:43.495464,http://www.meetup.com/Cary-WordPress-Web-Design/events/158611452/,Cary WordPress Web Design,,
